Rank,Player,Pos.,Weekly Salary,2018 Salary,Club
223,Michael Boxall (http://www.capology.com/soccer/player/michael-boxall/salary-profile/),D,"$5,141","$267,341",Minnesota United
224,Diego Rubio Kostner (http://www.capology.com/soccer/player/diego-rubio-kostner/salary-profile/),F,"$5,132","$266,875",Sporting KC
225,Mauro Manotas (http://www.capology.com/soccer/player/mauro-manotas/salary-profile/),F,"$5,083","$264,328",Houston Dynamo
226,Eriq Zavaleta (http://www.capology.com/soccer/player/eriq-zavaleta/salary-profile/),D,"$5,068","$263,558",Toronto FC
227,Sean Davis (http://www.capology.com/soccer/player/sean-davis/salary-profile/),M,"$5,032","$261,667",NY Red Bulls
228,Eric Alexander (http://www.capology.com/soccer/player/eric-alexander/salary-profile/),M,"$5,000","$260,004",Houston Dynamo
229,Teal Bunbury (http://www.capology.com/soccer/player/teal-bunbury/salary-profile/),F,"$5,000","$260,000",New England Revolution
230,Cedric Hountondji (http://www.capology.com/soccer/player/cedric-hountondji/salary-profile/),D,"$4,968","$258,333",NYC FC
231,Kelyn Rowe (http://www.capology.com/soccer/player/kelyn-rowe/salary-profile/),M,"$4,962","$258,000",New England Revolution
232,Kemar Lawrence (http://www.capology.com/soccer/player/kemar-lawrence/salary-profile/),D,"$4,915","$255,600",NY Red Bulls
233,Sebastian Lletget (http://www.capology.com/soccer/player/sebastian-lletget/salary-profile/),M,"$4,859","$252,667",LA Galaxy
234,Romell Quioto (http://www.capology.com/soccer/player/romell-quioto/salary-profile/),F,"$4,856","$252,500",Houston Dynamo
235,Collen Warner (http://www.capology.com/soccer/player/collen-warner/salary-profile/),M,"$4,827","$251,004",Minnesota United
236,Franco Escobar (http://www.capology.com/soccer/player/franco-escobar/salary-profile/),D,"$4,808","$250,008",Atlanta United
237,Maynor Figueroa (http://www.capology.com/soccer/player/maynor-figueroa/salary-profile/),D,"$4,808","$250,000",FC Dallas
238,Patrick Mullins (http://www.capology.com/soccer/player/patrick-mullins/salary-profile/),F,"$4,808","$249,996",D.C. United
239,Sean Johnson (http://www.capology.com/soccer/player/sean-johnson/salary-profile/),GK,"$4,808","$250,008",NYC FC
240,Russell Canouse (http://www.capology.com/soccer/player/russell-canouse/salary-profile/),M,"$4,760","$247,500",D.C. United
241,Philippe Senderos (http://www.capology.com/soccer/player/philippe-senderos/salary-profile/),D,"$4,663","$242,500",Houston Dynamo
242,Jukka Raitala (http://www.capology.com/soccer/player/jukka-raitala/salary-profile/),D,"$4,648","$241,671",Montreal Impact
243,Alvas Powell (http://www.capology.com/soccer/player/alvas-powell/salary-profile/),D,"$4,647","$241,625",Portland Timbers
244,Joao Pedro (http://www.capology.com/soccer/player/joao-pedro/salary-profile/),M,"$4,635","$240,996",LA Galaxy
245,Tony Beltran (http://www.capology.com/soccer/player/tony-beltran/salary-profile/),D,"$4,634","$240,950",Real Salt Lake
246,Cristian Lobato (http://www.capology.com/soccer/player/cristian-lobato/salary-profile/),M,"$4,615","$240,000",Sporting KC
247,David Guzman (http://www.capology.com/soccer/player/david-guzman/salary-profile/),M,"$4,615","$240,000",Portland Timbers
248,Jose Aja (http://www.capology.com/soccer/player/jose-aja/salary-profile/),D,"$4,615","$240,000",Vancouver Whitecaps
249,Johan Blomberg (http://www.capology.com/soccer/player/johan-blomberg/salary-profile/),M,"$4,612","$239,808",Colorado Rapids
250,Brooks Lennon (http://www.capology.com/soccer/player/brooks-lennon/salary-profile/),F,"$4,569","$237,583",Real Salt Lake
251,Johan Venegas (http://www.capology.com/soccer/player/johan-venegas/salary-profile/),M,"$4,567","$237,500",Minnesota United
252,Adolfo Machado (http://www.capology.com/soccer/player/adolfo-machado/salary-profile/),D,"$4,548","$236,508",Houston Dynamo
253,Walker Zimmerman (http://www.capology.com/soccer/player/walker-zimmerman/salary-profile/),D,"$4,519","$235,000",LAFC
254,Jordan Morris (http://www.capology.com/soccer/player/jordan-morris/salary-profile/),F,"$4,510","$234,500",Seattle Sounders
255,Luis Silva (http://www.capology.com/soccer/player/luis-silva/salary-profile/),F,"$4,494","$233,667",Real Salt Lake
256,Francois Affolter (http://www.capology.com/soccer/player/francois-affolter/salary-profile/),D,"$4,474","$232,650",San Jose Earthquakes
257,Andrew Wenger (http://www.capology.com/soccer/player/andrew-wenger/salary-profile/),M,"$4,423","$230,000",Houston Dynamo
258,Marco Delgado (http://www.capology.com/soccer/player/marco-delgado/salary-profile/),M,"$4,423","$230,000",Toronto FC
259,Jordan Allen (http://www.capology.com/soccer/player/jordan-allen/salary-profile/),M,"$4,327","$225,000",Real Salt Lake
260,Rasmus Schuller (http://www.capology.com/soccer/player/rasmus-schuller/salary-profile/),M,"$4,327","$225,004",Minnesota United
261,Scott Sutter (http://www.capology.com/soccer/player/scott-sutter/salary-profile/),D,"$4,327","$225,000",Orlando City
262,Joshua Yaro (http://www.capology.com/soccer/player/joshua-yaro/salary-profile/),D,"$4,308","$224,000",Philadelphia Union
263,Clint Irwin (http://www.capology.com/soccer/player/clint-irwin/salary-profile/),GK,"$4,256","$221,313",Toronto FC
264,Jerome Thiesson (http://www.capology.com/soccer/player/jerome-thiesson/salary-profile/),D,"$4,215","$219,167",Minnesota United
265,Gaston Sauro (http://www.capology.com/soccer/player/gaston-sauro/salary-profile/),D,"$4,111","$213,750",Columbus Crew
266,Jesse Gonzalez (http://www.capology.com/soccer/player/jesse-gonzalez/salary-profile/),GK,"$4,067","$211,500",FC Dallas
267,Artur de Lima (http://www.capology.com/soccer/player/artur-de-lima/salary-profile/),M,"$4,038","$210,000",Columbus Crew
268,Jeff Larentowicz (http://www.capology.com/soccer/player/jeff-larentowicz/salary-profile/),M,"$4,038","$210,000",Atlanta United
269,Jonathan Osorio (http://www.capology.com/soccer/player/jonathan-osorio/salary-profile/),M,"$4,035","$209,825",Toronto FC
270,AJ DeLaGarza (http://www.capology.com/soccer/player/aj-delagarza/salary-profile/),D,"$3,990","$207,500",Houston Dynamo
271,Miles Robinson (http://www.capology.com/soccer/player/miles-robinson/salary-profile/),D,"$3,942","$205,000",Atlanta United
272,Tosaint Ricketts (http://www.capology.com/soccer/player/tosaint-ricketts/salary-profile/),F,"$3,907","$203,175",Toronto FC
273,Jeremy Ebobisse (http://www.capology.com/soccer/player/jeremy-ebobisse/salary-profile/),F,"$3,904","$203,000",Portland Timbers
274,Pablo Ruiz (http://www.capology.com/soccer/player/pablo-ruiz/salary-profile/),M,"$3,865","$201,000",Real Salt Lake
275,Brad Evans (http://www.capology.com/soccer/player/brad-evans/salary-profile/),D,"$3,846","$200,000",Sporting KC
276,Jeisson Vargas (http://www.capology.com/soccer/player/jeisson-vargas/salary-profile/),M,"$3,846","$200,000",Montreal Impact
277,Joshua Williams (http://www.capology.com/soccer/player/joshua-williams/salary-profile/),D,"$3,846","$200,000",Columbus Crew
278,Lawrence Olum (http://www.capology.com/soccer/player/lawrence-olum/salary-profile/),M,"$3,846","$200,004",Portland Timbers
279,Shea Salinas (http://www.capology.com/soccer/player/shea-salinas/salary-profile/),M,"$3,846","$200,000",San Jose Earthquakes
280,Thomas McNamara (http://www.capology.com/soccer/player/thomas-mcnamara/salary-profile/),M,"$3,846","$200,000",NYC FC
281,Yangel Herrera (http://www.capology.com/soccer/player/yangel-herrera/salary-profile/),M,"$3,846","$200,000",NYC FC
282,Mike Grella (http://www.capology.com/soccer/player/mike-grella/salary-profile/),F,"$3,799","$197,550",Columbus Crew
283,Jackson Yueill (http://www.capology.com/soccer/player/jackson-yueill/salary-profile/),M,"$3,769","$196,000",San Jose Earthquakes
284,Axel Sjoberg (http://www.capology.com/soccer/player/axel-sjoberg/salary-profile/),D,"$3,750","$194,996",Colorado Rapids
285,Tyrone Mears (http://www.capology.com/soccer/player/tyrone-mears/salary-profile/),D,"$3,736","$194,256",Minnesota United
286,Dairon Asprilla (http://www.capology.com/soccer/player/dairon-asprilla/salary-profile/),F,"$3,726","$193,750",Portland Timbers
287,Mohammed El-Mounir (http://www.capology.com/soccer/player/mohammed-el-mounir/salary-profile/),D,"$3,708","$192,833",Orlando City
288,Anton Nedyalkov (http://www.capology.com/soccer/player/anton-nedyalkov/salary-profile/),D,"$3,702","$192,500",FC Dallas
289,Cristian Roldan (http://www.capology.com/soccer/player/cristian-roldan/salary-profile/),M,"$3,673","$191,000",Seattle Sounders
290,Diego Fagundez (http://www.capology.com/soccer/player/diego-fagundez/salary-profile/),M,"$3,654","$190,000",New England Revolution
291,Aaron Maund (http://www.capology.com/soccer/player/aaron-maund/salary-profile/),D,"$3,643","$189,438",Vancouver Whitecaps
292,Joe Bendik (http://www.capology.com/soccer/player/joe-bendik/salary-profile/),GK,"$3,636","$189,083",Orlando City
293,Abu Danladi (http://www.capology.com/soccer/player/abu-danladi/salary-profile/),F,"$3,577","$186,000",Minnesota United
294,Brandon Servania (http://www.capology.com/soccer/player/brandon-servania/salary-profile/),M,"$3,577","$186,000",FC Dallas
295,Stefano Pinho (http://www.capology.com/soccer/player/stefano-pinho/salary-profile/),F,"$3,526","$183,333",Orlando City
296,Raymon Gaddis (http://www.capology.com/soccer/player/raymon-gaddis/salary-profile/),D,"$3,510","$182,500",Philadelphia Union
297,Victor Ulloa (http://www.capology.com/soccer/player/victor-ulloa/salary-profile/),M,"$3,510","$182,500",FC Dallas
298,Bobby Shuttleworth (http://www.capology.com/soccer/player/bobby-shuttleworth/salary-profile/),GK,"$3,498","$181,875",Minnesota United
299,Mohammed Abu (http://www.capology.com/soccer/player/mohammed-abu/salary-profile/),M,"$3,486","$181,258",Columbus Crew
300,Ema Twumasi (http://www.capology.com/soccer/player/ema-twumasi/salary-profile/),F,"$3,479","$180,900",FC Dallas
301,Jacob Peterson (http://www.capology.com/soccer/player/jacob-peterson/salary-profile/),F,"$3,477","$180,818",Major League Soccer L.L.C
302,Dillon Powers (http://www.capology.com/soccer/player/dillon-powers/salary-profile/),M,"$3,462","$180,000",Orlando City
303,Kevin Kratz (http://www.capology.com/soccer/player/kevin-kratz/salary-profile/),M,"$3,447","$179,250",Atlanta United
304,Mason Toye (http://www.capology.com/soccer/player/mason-toye/salary-profile/),F,"$3,423","$178,000",Minnesota United
305,Chance Myers (http://www.capology.com/soccer/player/chance-myers/salary-profile/),D,"$3,366","$175,008",Major League Soccer L.L.C
306,Greg Garza (http://www.capology.com/soccer/player/greg-garza/salary-profile/),D,"$3,366","$175,008",Atlanta United
307,Baggio Husidic (http://www.capology.com/soccer/player/baggio-husidic/salary-profile/),M,"$3,365","$175,000",LA Galaxy
308,Chris Pontius (http://www.capology.com/soccer/player/chris-pontius/salary-profile/),F,"$3,365","$175,000",LA Galaxy
309,Harry Shipp (http://www.capology.com/soccer/player/harry-shipp/salary-profile/),M,"$3,365","$175,000",Seattle Sounders
310,Luke Mulholland (http://www.capology.com/soccer/player/luke-mulholland/salary-profile/),M,"$3,332","$173,250",Real Salt Lake
311,Waylon Francis (http://www.capology.com/soccer/player/waylon-francis/salary-profile/),D,"$3,301","$171,667",Seattle Sounders
312,Joao Moutinho (http://www.capology.com/soccer/player/joao-moutinho/salary-profile/),D,"$3,269","$170,000",LAFC
313,Tommy Thompson (http://www.capology.com/soccer/player/tommy-thompson/salary-profile/),M,"$3,269","$170,000",San Jose Earthquakes
314,Zac MacMath (http://www.capology.com/soccer/player/zac-macmath/salary-profile/),GK,"$3,269","$170,000",Colorado Rapids
315,Francis Atuahene (http://www.capology.com/soccer/player/francis-atuahene/salary-profile/),F,"$3,250","$169,000",FC Dallas
316,Dominique Badji (http://www.capology.com/soccer/player/dominique-badji/salary-profile/),F,"$3,245","$168,750",Colorado Rapids
317,Michael Petrasso (http://www.capology.com/soccer/player/michael-petrasso/salary-profile/),D,"$3,233","$168,129",Montreal Impact
318,Joel Qwiberg (http://www.capology.com/soccer/player/joel-qwiberg/salary-profile/),D,"$3,231","$168,000",San Jose Earthquakes
319,Chris Tierney (http://www.capology.com/soccer/player/chris-tierney/salary-profile/),D,"$3,189","$165,833",New England Revolution
320,Leonardo Da Silva (http://www.capology.com/soccer/player/leonardo-da-silva/salary-profile/),D,"$3,176","$165,171",Houston Dynamo
321,Oscar Boniek Garcia (http://www.capology.com/soccer/player/oscar-boniek-garcia/salary-profile/),M,"$3,173","$165,000",Houston Dynamo
322,Richie Laryea (http://www.capology.com/soccer/player/richie-laryea/salary-profile/),M,"$3,154","$164,000",Orlando City
323,Stefan Marinovic (http://www.capology.com/soccer/player/stefan-marinovic/salary-profile/),GK,"$3,126","$162,563",Vancouver Whitecaps
324,Hector Jimenez (http://www.capology.com/soccer/player/hector-jimenez/salary-profile/),M,"$3,077","$159,996",Columbus Crew
325,Marcel de Jong (http://www.capology.com/soccer/player/marcel-de-jong/salary-profile/),D,"$3,077","$160,000",Vancouver Whitecaps
326,Russell Teibert (http://www.capology.com/soccer/player/russell-teibert/salary-profile/),M,"$3,077","$160,000",Vancouver Whitecaps
327,Kevin Ellis (http://www.capology.com/soccer/player/kevin-ellis/salary-profile/),D,"$3,045","$158,333",Chicago Fire
328,Evan Bush (http://www.capology.com/soccer/player/evan-bush/salary-profile/),GK,"$3,037","$157,925",Montreal Impact
329,Seth Sinovic (http://www.capology.com/soccer/player/seth-sinovic/salary-profile/),D,"$3,032","$157,667",Sporting KC
330,Arturo Alvarez (http://www.capology.com/soccer/player/arturo-alvarez/salary-profile/),M,"$3,029","$157,500",Houston Dynamo
331,Erik Hurtado (http://www.capology.com/soccer/player/erik-hurtado/salary-profile/),F,"$3,005","$156,250",Vancouver Whitecaps
332,Anthony Jackson-Hamel (http://www.capology.com/soccer/player/anthony-jackson-hamel/salary-profile/),F,"$2,981","$155,000",Montreal Impact
333,Chris Seitz (http://www.capology.com/soccer/player/chris-seitz/salary-profile/),GK,"$2,981","$155,004",Houston Dynamo
334,Doneil Henry (http://www.capology.com/soccer/player/doneil-henry/salary-profile/),D,"$2,966","$154,238",Vancouver Whitecaps
335,Tyler Adams (http://www.capology.com/soccer/player/tyler-adams/salary-profile/),M,"$2,953","$153,542",NY Red Bulls
336,Fabinho Alves Macedo (http://www.capology.com/soccer/player/fabinho-alves-macedo/salary-profile/),D,"$2,942","$153,000",Philadelphia Union
337,Warren Creavalle (http://www.capology.com/soccer/player/warren-creavalle/salary-profile/),M,"$2,942","$153,000",Philadelphia Union
338,Richie Marquez (http://www.capology.com/soccer/player/richie-marquez/salary-profile/),D,"$2,912","$151,430",Philadelphia Union
339,Alan Gordon (http://www.capology.com/soccer/player/alan-gordon/salary-profile/),F,"$2,885","$150,000",Chicago Fire
340,Andy Polo (http://www.capology.com/soccer/player/andy-polo/salary-profile/),F,"$2,885","$150,000",Portland Timbers
341,Chris Duvall (http://www.capology.com/soccer/player/chris-duvall/salary-profile/),D,"$2,885","$150,000",Montreal Impact
342,Dejan Jakovic (http://www.capology.com/soccer/player/dejan-jakovic/salary-profile/),D,"$2,885","$150,000",LAFC
343,Jordan Harvey (http://www.capology.com/soccer/player/jordan-harvey/salary-profile/),D,"$2,885","$150,000",LAFC
344,Josue Colman (http://www.capology.com/soccer/player/josue-colman/salary-profile/),M,"$2,885","$150,000",Orlando City
345,Julio Cascante (http://www.capology.com/soccer/player/julio-cascante/salary-profile/),D,"$2,885","$150,000",Portland Timbers
346,Roy Miller (http://www.capology.com/soccer/player/roy-miller/salary-profile/),D,"$2,885","$150,000",Portland Timbers
347,Sean Franklin (http://www.capology.com/soccer/player/sean-franklin/salary-profile/),D,"$2,885","$150,000",Vancouver Whitecaps
348,Fafa Picault (http://www.capology.com/soccer/player/fafa-picault/salary-profile/),F,"$2,859","$148,667",Philadelphia Union
349,Nicolas Hasler (http://www.capology.com/soccer/player/nicolas-hasler/salary-profile/),D,"$2,840","$147,667",Toronto FC
350,Luis Lopez (http://www.capology.com/soccer/player/luis-lopez/salary-profile/),GK,"$2,837","$147,500",LAFC
351,Tommy Redding (http://www.capology.com/soccer/player/tommy-redding/salary-profile/),D,"$2,837","$147,500",NY Red Bulls
352,Brandon Vazquez (http://www.capology.com/soccer/player/brandon-vazquez/salary-profile/),F,"$2,789","$145,004",Atlanta United
353,Fidel Escobar (http://www.capology.com/soccer/player/fidel-escobar/salary-profile/),D,"$2,788","$145,000",NY Red Bulls
354,Marlon Hairston (http://www.capology.com/soccer/player/marlon-hairston/salary-profile/),M,"$2,788","$144,996",Colorado Rapids
355,Ryan Hollingshead (http://www.capology.com/soccer/player/ryan-hollingshead/salary-profile/),D,"$2,788","$145,000",FC Dallas
356,Zack Steffen (http://www.capology.com/soccer/player/zack-steffen/salary-profile/),GK,"$2,788","$145,000",Columbus Crew
357,Brandon Vincent (http://www.capology.com/soccer/player/brandon-vincent/salary-profile/),D,"$2,774","$144,250",Chicago Fire
358,Ayo Akinola (http://www.capology.com/soccer/player/ayo-akinola/salary-profile/),F,"$2,702","$140,504",Toronto FC
359,Jimmy Medranda (http://www.capology.com/soccer/player/jimmy-medranda/salary-profile/),D,"$2,692","$140,004",Sporting KC
360,Marc Burch (http://www.capology.com/soccer/player/marc-burch/salary-profile/),D,"$2,692","$140,004",Minnesota United
361,Taylor Kemp (http://www.capology.com/soccer/player/taylor-kemp/salary-profile/),D,"$2,692","$140,000",D.C. United
362,Junior Moreno (http://www.capology.com/soccer/player/junior-moreno/salary-profile/),M,"$2,683","$139,500",D.C. United
363,Scott Caldwell (http://www.capology.com/soccer/player/scott-caldwell/salary-profile/),M,"$2,680","$139,375",New England Revolution
364,Ian Harkes (http://www.capology.com/soccer/player/ian-harkes/salary-profile/),M,"$2,649","$137,738",D.C. United
365,Ulises Segura (http://www.capology.com/soccer/player/ulises-segura/salary-profile/),M,"$2,635","$137,000",D.C. United
366,Brian Rowe (http://www.capology.com/soccer/player/brian-rowe/salary-profile/),GK,"$2,596","$135,000",Vancouver Whitecaps
367,Nick Hagglund (http://www.capology.com/soccer/player/nick-hagglund/salary-profile/),D,"$2,589","$134,629",Toronto FC
368,Kofi Opare (http://www.capology.com/soccer/player/kofi-opare/salary-profile/),D,"$2,560","$133,125",D.C. United
369,Joe Willis (http://www.capology.com/soccer/player/joe-willis/salary-profile/),GK,"$2,553","$132,750",Houston Dynamo
370,Richard Sanchez (http://www.capology.com/soccer/player/richard-sanchez/salary-profile/),GK,"$2,548","$132,500",Chicago Fire
371,Daniel Steres (http://www.capology.com/soccer/player/daniel-steres/salary-profile/),D,"$2,540","$132,067",LA Galaxy
372,JT Marcinkowski (http://www.capology.com/soccer/player/jt-marcinkowski/salary-profile/),GK,"$2,538","$132,000",San Jose Earthquakes
373,David Horst (http://www.capology.com/soccer/player/david-horst/salary-profile/),D,"$2,531","$131,629",Real Salt Lake
374,Michael Azira (http://www.capology.com/soccer/player/michael-azira/salary-profile/),M,"$2,531","$131,625",Colorado Rapids
375,Shawn Barry (http://www.capology.com/soccer/player/shawn-barry/salary-profile/),D,"$2,524","$131,250",Real Salt Lake
376,Edgar Castillo (http://www.capology.com/soccer/player/edgar-castillo/salary-profile/),D,"$2,500","$129,996",Colorado Rapids
377,Emmanuel Boateng (http://www.capology.com/soccer/player/emmanuel-boateng/salary-profile/),F,"$2,500","$130,000",LA Galaxy
378,Nicolas Mezquida (http://www.capology.com/soccer/player/nicolas-mezquida/salary-profile/),F,"$2,500","$130,000",Vancouver Whitecaps
379,Sal Zizzo (http://www.capology.com/soccer/player/sal-zizzo/salary-profile/),D,"$2,500","$130,000",Atlanta United
380,Steve Clark (http://www.capology.com/soccer/player/steve-clark/salary-profile/),GK,"$2,500","$130,000",D.C. United
381,Zarek Valentin (http://www.capology.com/soccer/player/zarek-valentin/salary-profile/),D,"$2,500","$130,000",Portland Timbers
382,Samuel Piette (http://www.capology.com/soccer/player/samuel-piette/salary-profile/),M,"$2,485","$129,234",Montreal Impact
383,Shamit Shome (http://www.capology.com/soccer/player/shamit-shome/salary-profile/),M,"$2,471","$128,500",Montreal Impact
384,Eryk Williamson (http://www.capology.com/soccer/player/eryk-williamson/salary-profile/),M,"$2,433","$126,500",Portland Timbers
385,Demar Phillips (http://www.capology.com/soccer/player/demar-phillips/salary-profile/),D,"$2,428","$126,250",Real Salt Lake
386,Jonathan Lewis (http://www.capology.com/soccer/player/jonathan-lewis/salary-profile/),F,"$2,413","$125,500",NYC FC
387,Jake Gleeson (http://www.capology.com/soccer/player/jake-gleeson/salary-profile/),GK,"$2,407","$125,167",Portland Timbers
388,Donny Toia (http://www.capology.com/soccer/player/donny-toia/salary-profile/),D,"$2,404","$125,004",Orlando City
389,Jared Jeffrey (http://www.capology.com/soccer/player/jared-jeffrey/salary-profile/),M,"$2,404","$124,996",D.C. United
390,Mohammed Adams (http://www.capology.com/soccer/player/mohammed-adams/salary-profile/),M,"$2,404","$125,000",Chicago Fire
391,Ricardo Clark (http://www.capology.com/soccer/player/ricardo-clark/salary-profile/),M,"$2,404","$125,000",Columbus Crew
392,Ryan Meara (http://www.capology.com/soccer/player/ryan-meara/salary-profile/),GK,"$2,404","$125,000",NY Red Bulls
393,Matt Polster (http://www.capology.com/soccer/player/matt-polster/salary-profile/),M,"$2,402","$124,890",Chicago Fire
394,Fatai Alashe (http://www.capology.com/soccer/player/fatai-alashe/salary-profile/),M,"$2,389","$124,243",San Jose Earthquakes
395,Jeff Attinella (http://www.capology.com/soccer/player/jeff-attinella/salary-profile/),GK,"$2,385","$124,000",Portland Timbers
396,Chris Richards (http://www.capology.com/soccer/player/chris-richards/salary-profile/),D,"$2,380","$123,750",FC Dallas
397,Adam Henley (http://www.capology.com/soccer/player/adam-henley/salary-profile/),D,"$2,362","$122,833",Real Salt Lake
398,Jimmy Maurer (http://www.capology.com/soccer/player/jimmy-maurer/salary-profile/),GK,"$2,356","$122,500",FC Dallas
399,Tesho Akindele (http://www.capology.com/soccer/player/tesho-akindele/salary-profile/),F,"$2,356","$122,500",FC Dallas
400,Ashtone Morgan (http://www.capology.com/soccer/player/ashtone-morgan/salary-profile/),D,"$2,337","$121,500",Toronto FC
401,Connor Lade (http://www.capology.com/soccer/player/connor-lade/salary-profile/),D,"$2,322","$120,750",NY Red Bulls
402,Keegan Rosenberry (http://www.capology.com/soccer/player/keegan-rosenberry/salary-profile/),D,"$2,322","$120,763",Philadelphia Union
403,Eduardo Sosa (http://www.capology.com/soccer/player/eduardo-sosa/salary-profile/),M,"$2,312","$120,200",Columbus Crew
404,Saad Abdul-Salaam (http://www.capology.com/soccer/player/saad-abdul-salaam/salary-profile/),D,"$2,312","$120,230",NYC FC
405,Jonathan Campbell (http://www.capology.com/soccer/player/jonathan-campbell/salary-profile/),D,"$2,309","$120,050",Chicago Fire
406,Gordon Wild (http://www.capology.com/soccer/player/gordon-wild/salary-profile/),F,"$2,308","$120,000",Atlanta United
407,Jose Rafael Hernandez (http://www.capology.com/soccer/player/jose-rafael-hernandez/salary-profile/),D,"$2,308","$120,000",Atlanta United
408,Khiry Shelton (http://www.capology.com/soccer/player/khiry-shelton/salary-profile/),F,"$2,303","$119,745",Sporting KC
409,Wandrille Lefevre (http://www.capology.com/soccer/player/wandrille-lefevre/salary-profile/),D,"$2,298","$119,500",Major League Soccer L.L.C
410,Jay Chapman (http://www.capology.com/soccer/player/jay-chapman/salary-profile/),M,"$2,260","$117,500",Toronto FC
411,Tim Parker (http://www.capology.com/soccer/player/tim-parker/salary-profile/),D,"$2,230","$115,935",NY Red Bulls
412,Eric Calvillo (http://www.capology.com/soccer/player/eric-calvillo/salary-profile/),M,"$2,212","$115,000",San Jose Earthquakes
413,Alex Muyl (http://www.capology.com/soccer/player/alex-muyl/salary-profile/),F,"$2,192","$114,000",NY Red Bulls
414,Tomas Hilliard-Arce (http://www.capology.com/soccer/player/tomas-hilliard-arce/salary-profile/),D,"$2,175","$113,125",LA Galaxy
415,Alejandro Fuenmayor (http://www.capology.com/soccer/player/alejandro-fuenmayor/salary-profile/),D,"$2,164","$112,508",Houston Dynamo
416,Julian Gressel (http://www.capology.com/soccer/player/julian-gressel/salary-profile/),M,"$2,139","$111,250",Atlanta United
417,Sebastian Saucedo (http://www.capology.com/soccer/player/sebastian-saucedo/salary-profile/),M,"$2,125","$110,500",Real Salt Lake
418,Auston Trusty (http://www.capology.com/soccer/player/auston-trusty/salary-profile/),D,"$2,098","$109,100",Philadelphia Union
419,Cristian Casseres (http://www.capology.com/soccer/player/cristian-casseres/salary-profile/),M,"$2,091","$108,750",NY Red Bulls
420,Andrew Dykstra (http://www.capology.com/soccer/player/andrew-dykstra/salary-profile/),GK,"$2,070","$107,659",Colorado Rapids
421,Matt Lampson (http://www.capology.com/soccer/player/matt-lampson/salary-profile/),GK,"$2,067","$107,500",Minnesota United
422,Dylan Remick (http://www.capology.com/soccer/player/dylan-remick/salary-profile/),D,"$2,051","$106,667",Houston Dynamo
423,Brad Knighton (http://www.capology.com/soccer/player/brad-knighton/salary-profile/),GK,"$2,038","$105,956",New England Revolution
424,Eric Miller (http://www.capology.com/soccer/player/eric-miller/salary-profile/),D,"$2,038","$105,998",Minnesota United
425,Rafael Ramos (http://www.capology.com/soccer/player/rafael-ramos/salary-profile/),D,"$2,035","$105,840",Chicago Fire
426,Caleb Calvert (http://www.capology.com/soccer/player/caleb-calvert/salary-profile/),F,"$2,019","$105,000",Colorado Rapids
427,John McCarthy (http://www.capology.com/soccer/player/john-mccarthy/salary-profile/),GK,"$2,005","$104,250",Philadelphia Union
428,Joseph Mora (http://www.capology.com/soccer/player/joseph-mora/salary-profile/),D,"$2,005","$104,250",D.C. United
429,Alex Bono (http://www.capology.com/soccer/player/alex-bono/salary-profile/),GK,"$1,965","$102,200",Toronto FC
430,Andrew Tarbell (http://www.capology.com/soccer/player/andrew-tarbell/salary-profile/),GK,"$1,962","$102,000",San Jose Earthquakes
431,Jon Bakero (http://www.capology.com/soccer/player/jon-bakero/salary-profile/),F,"$1,950","$101,375",Chicago Fire
432,Jordan Hamilton (http://www.capology.com/soccer/player/jordan-hamilton/salary-profile/),F,"$1,931","$100,430",Toronto FC
433,Nick Lima (http://www.capology.com/soccer/player/nick-lima/salary-profile/),D,"$1,927","$100,200",San Jose Earthquakes
434,Danilo Acosta (http://www.capology.com/soccer/player/danilo-acosta/salary-profile/),M,"$1,923","$100,000",Real Salt Lake
435,Fabian Herbers (http://www.capology.com/soccer/player/fabian-herbers/salary-profile/),F,"$1,923","$100,008",Philadelphia Union
436,Rodrigo Pacheco (http://www.capology.com/soccer/player/rodrigo-pacheco/salary-profile/),F,"$1,923","$100,000",LAFC
437,Adonijah Reid (http://www.capology.com/soccer/player/adonijah-reid/salary-profile/),F,"$1,911","$99,375",FC Dallas
438,Lamar Neagle (http://www.capology.com/soccer/player/lamar-neagle/salary-profile/),F,"$1,904","$99,000",Seattle Sounders
439,Chris Mueller (http://www.capology.com/soccer/player/chris-mueller/salary-profile/),F,"$1,899","$98,750",Orlando City
440,Adam Jahn (http://www.capology.com/soccer/player/adam-jahn/salary-profile/),F,"$1,875","$97,500",Columbus Crew
441,Clement Diop (http://www.capology.com/soccer/player/clement-diop/salary-profile/),GK,"$1,871","$97,290",Montreal Impact
442,Djordje Mihailovic (http://www.capology.com/soccer/player/djordje-mihailovic/salary-profile/),M,"$1,846","$96,000",Chicago Fire
443,Edward Opoku (http://www.capology.com/soccer/player/edward-opoku/salary-profile/),F,"$1,846","$96,000",Columbus Crew
444,Victor Giro (http://www.capology.com/soccer/player/victor-giro/salary-profile/),D,"$1,833","$95,313",Orlando City
445,Alex Crognale (http://www.capology.com/soccer/player/alex-crognale/salary-profile/),D,"$1,827","$95,004",Columbus Crew
446,Collin Martin (http://www.capology.com/soccer/player/collin-martin/salary-profile/),M,"$1,827","$95,004",Minnesota United
447,Dillon Serna (http://www.capology.com/soccer/player/dillon-serna/salary-profile/),M,"$1,827","$95,000",Colorado Rapids
