Rank,Player,Weekly Salary,Pos.,Age,Status,Length (Yrs),2018-19 Salary,2019-20 Salary,2020-21 Salary,2021-22 Salary,2022-23 Salary,2023-24 Salary,2024-25 Salary,Club
138,Santi Mina (http://www.capology.com/soccer/player/santi-mina/salary-profile/),"$43,345",CF,23,Reserve,3,"$2,253,963","$2,253,963","$2,253,963",$0,$0,$0,$0,Valencia
139,Tomas Vaclik (http://www.capology.com/soccer/player/tomas-vaclik/salary-profile/),"$43,324",GK,30,Starter,3,"$2,252,832","$2,252,832","$2,252,832",$0,$0,$0,$0,Sevilla
140,Wissam Ben Yedder (http://www.capology.com/soccer/player/wissam-ben-yedder/salary-profile/),"$43,324",CF,28,Starter,3,"$2,252,832","$2,252,832","$2,252,832",$0,$0,$0,$0,Sevilla
141,Antonio Adán (http://www.capology.com/soccer/player/antonio-adan/salary-profile/),"$43,258",GK,31,Reserve,2,"$2,249,440","$2,249,440",$0,$0,$0,$0,$0,Atlético Madrid
142,Víctor Ruiz (http://www.capology.com/soccer/player/victor-ruiz/salary-profile/),"$42,823",CB,30,Starter,1,"$2,226,821",$0,$0,$0,$0,$0,$0,Villarreal
143,Gabriel Mercado (http://www.capology.com/soccer/player/gabriel-mercado/salary-profile/),"$42,671",CB,32,Reserve,1,"$2,218,904",$0,$0,$0,$0,$0,$0,Sevilla
144,Sergi Darder (http://www.capology.com/soccer/player/sergi-darder/salary-profile/),"$41,192",CM,25,Starter,5,"$2,142,000","$2,142,000","$2,142,000","$2,142,000","$2,142,000",$0,$0,Espanyol
145,Cristhian Stuani (http://www.capology.com/soccer/player/cristhian-stuani/salary-profile/),"$40,322",CF,32,Starter,4,"$2,096,763","$2,096,763","$2,096,763","$2,096,763",$0,$0,$0,Girona
146,Kevin-Prince Boateng (http://www.capology.com/soccer/player/kevin-prince-boateng/salary-profile/),"$40,235",CF,32,Reserve,1,"$2,092,239",$0,$0,$0,$0,$0,$0,Barcelona
147,Pablo Fornals (http://www.capology.com/soccer/player/pablo-fornals/salary-profile/),"$39,974",AM,23,Reserve,4,"$2,078,668","$2,078,668","$2,078,668","$2,078,668",$0,$0,$0,Villarreal
148,John Guidetti (http://www.capology.com/soccer/player/john-guidetti/salary-profile/),"$39,561",CF,26,Reserve,4,"$2,057,180","$2,057,180","$2,057,180","$2,057,180",$0,$0,$0,Alaves
149,Okay Yokuslu (http://www.capology.com/soccer/player/okay-yokuslu/salary-profile/),"$39,278",DM,25,Starter,5,"$2,042,478","$2,042,478","$2,042,478","$2,042,478","$2,042,478",$0,$0,Celta Vigo
150,Maximiliano Gómez (http://www.capology.com/soccer/player/maximiliano-gomez/salary-profile/),"$38,822",CF,22,Starter,4,"$2,018,728","$2,018,728","$2,018,728","$2,018,728",$0,$0,$0,Celta Vigo
151,Diego Reyes (http://www.capology.com/soccer/player/diego-reyes/salary-profile/),"$38,387",CB,26,Reserve,1,"$1,996,109",$0,$0,$0,$0,$0,$0,Leganés
152,Emre Mor (http://www.capology.com/soccer/player/emre-mor/salary-profile/),"$38,017",LW,21,Reserve,4,"$1,976,883","$1,976,883","$1,976,883","$1,976,883",$0,$0,$0,Celta Vigo
153,Jordi Amat (http://www.capology.com/soccer/player/jordi-amat/salary-profile/),"$37,799",CB,27,Starter,4,"$1,965,574","$1,965,574","$1,965,574","$1,965,574",$0,$0,$0,Rayo Vallecano
154,Martin Braithwaite (http://www.capology.com/soccer/player/martin-braithwaite/salary-profile/),"$37,799",CF,27,Reserve,1,"$1,965,574",$0,$0,$0,$0,$0,$0,Leganés
155,Giannelli Imbula (http://www.capology.com/soccer/player/giannelli-imbula/salary-profile/),"$37,473",DM,26,Starter,1,"$1,948,610",$0,$0,$0,$0,$0,$0,Rayo Vallecano
156,Dani García (http://www.capology.com/soccer/player/dani-garcia/salary-profile/),"$37,343",CM,28,Starter,4,"$1,941,824","$1,941,824","$1,941,824","$1,941,824",$0,$0,$0,Athletic Club
157,Sidnei (http://www.capology.com/soccer/player/sidnei/salary-profile/),"$37,212",CB,29,Reserve,4,"$1,935,038","$1,935,038","$1,935,038","$1,935,038",$0,$0,$0,Real Betis
158,Diego Llorente (http://www.capology.com/soccer/player/diego-llorente/salary-profile/),"$35,603",CB,25,Reserve,4,"$1,851,349","$1,851,349","$1,851,349","$1,851,349",$0,$0,$0,Real Sociedad
159,Sergio Canales (http://www.capology.com/soccer/player/sergio-canales/salary-profile/),"$35,342",AM,28,Starter,4,"$1,837,778","$1,837,778","$1,837,778","$1,837,778",$0,$0,$0,Real Betis
160,Aritz Aduriz (http://www.capology.com/soccer/player/aritz-aduriz/salary-profile/),"$34,668",CF,38,Reserve,1,"$1,802,718",$0,$0,$0,$0,$0,$0,Athletic Club
161,Pablo Insua (http://www.capology.com/soccer/player/pablo-insua/salary-profile/),"$33,928",CB,25,Reserve,1,"$1,764,266",$0,$0,$0,$0,$0,$0,Huesca
162,Yeray Álvarez (http://www.capology.com/soccer/player/yeray-alvarez/salary-profile/),"$33,754",CB,24,Starter,4,"$1,755,219","$1,755,219","$1,755,219","$1,755,219",$0,$0,$0,Athletic Club
163,Pione Sisto (http://www.capology.com/soccer/player/pione-sisto/salary-profile/),"$33,645",LW,24,Reserve,3,"$1,749,564","$1,749,564","$1,749,564",$0,$0,$0,$0,Celta Vigo
164,Santiago Cáseres (http://www.capology.com/soccer/player/santiago-caseres/salary-profile/),"$33,515",DM,22,Starter,5,"$1,742,779","$1,742,779","$1,742,779","$1,742,779","$1,742,779",$0,$0,Villarreal
165,Alfonso Pedraza (http://www.capology.com/soccer/player/alfonso-pedraza/salary-profile/),"$33,363",LW,23,Starter,3,"$1,734,862","$1,734,862","$1,734,862",$0,$0,$0,$0,Villarreal
166,Néstor Araujo (http://www.capology.com/soccer/player/nestor-araujo/salary-profile/),"$32,971",CB,27,Starter,5,"$1,714,505","$1,714,505","$1,714,505","$1,714,505","$1,714,505",$0,$0,Celta Vigo
167,Beñat Etxebarria (http://www.capology.com/soccer/player/benat-etxebarria/salary-profile/),"$32,776",CM,32,Starter,2,"$1,704,327","$1,704,327",$0,$0,$0,$0,$0,Athletic Club
168,Andrés Guardado (http://www.capology.com/soccer/player/andres-guardado/salary-profile/),"$32,341",CM,32,Reserve,2,"$1,681,708","$1,681,708",$0,$0,$0,$0,$0,Real Betis
169,Javi García (http://www.capology.com/soccer/player/javi-garcia/salary-profile/),"$32,232",DM,32,Starter,2,"$1,676,053","$1,676,053",$0,$0,$0,$0,$0,Real Betis
170,Nemanja Radoja (http://www.capology.com/soccer/player/nemanja-radoja/salary-profile/),"$32,123",DM,26,Reserve,1,"$1,670,398",$0,$0,$0,$0,$0,$0,Celta Vigo
171,Mathias Jensen (http://www.capology.com/soccer/player/mathias-jensen/salary-profile/),"$31,775",CM,23,Starter,5,"$1,652,303","$1,652,303","$1,652,303","$1,652,303","$1,652,303",$0,$0,Celta Vigo
172,Portu (http://www.capology.com/soccer/player/portu/salary-profile/),"$31,492",AM,26,Starter,4,"$1,637,601","$1,637,601","$1,637,601","$1,637,601",$0,$0,$0,Girona
173,Gustavo Cabral (http://www.capology.com/soccer/player/gustavo-cabral/salary-profile/),"$31,297",CB,33,Reserve,1,"$1,627,423",$0,$0,$0,$0,$0,$0,Celta Vigo
174,Joris Gnagnon (http://www.capology.com/soccer/player/joris-gnagnon/salary-profile/),"$31,079",CB,22,Reserve,5,"$1,616,113","$1,616,113","$1,616,113","$1,616,113","$1,616,113",$0,$0,Sevilla
175,Pau López (http://www.capology.com/soccer/player/pau-lopez/salary-profile/),"$30,992",GK,24,Starter,5,"$1,611,590","$1,611,590","$1,611,590","$1,611,590","$1,611,590",$0,$0,Real Betis
176,Jaume Costa (http://www.capology.com/soccer/player/jaume-costa/salary-profile/),"$30,818",LB,31,Reserve,3,"$1,602,542","$1,602,542","$1,602,542",$0,$0,$0,$0,Villarreal
177,Guilherme Arana (http://www.capology.com/soccer/player/guilherme-arana/salary-profile/),"$30,492",LB,21,Starter,4,"$1,585,578","$1,585,578","$1,585,578","$1,585,578",$0,$0,$0,Sevilla
178,Sergi Enrich (http://www.capology.com/soccer/player/sergi-enrich/salary-profile/),"$30,448",CF,29,Reserve,1,"$1,583,316",$0,$0,$0,$0,$0,$0,Eibar
179,Dimitrios Siovas (http://www.capology.com/soccer/player/dimitrios-siovas/salary-profile/),"$30,427",CB,30,Starter,3,"$1,582,185","$1,582,185","$1,582,185",$0,$0,$0,$0,Leganés
180,Jony (http://www.capology.com/soccer/player/jony/salary-profile/),"$29,404",LW,27,Starter,1,"$1,529,031",$0,$0,$0,$0,$0,$0,Alaves
181,Keko (http://www.capology.com/soccer/player/keko/salary-profile/),"$29,404",RW,27,Starter,1,"$1,529,031",$0,$0,$0,$0,$0,$0,Valladolid
182,Roberto Rosales (http://www.capology.com/soccer/player/roberto-rosales/salary-profile/),"$29,404",RB,30,Starter,1,"$1,529,031",$0,$0,$0,$0,$0,$0,Espanyol
183,Víctor Sánchez (http://www.capology.com/soccer/player/victor-sanchez/salary-profile/),"$29,296",CM,31,Reserve,3,"$1,523,376","$1,523,376","$1,523,376",$0,$0,$0,$0,Espanyol
184,Raúl Navas (http://www.capology.com/soccer/player/raul-navas/salary-profile/),"$28,774",CB,30,Starter,2,"$1,496,234","$1,496,234",$0,$0,$0,$0,$0,Real Sociedad
185,Enes Ünal (http://www.capology.com/soccer/player/enes-unal/salary-profile/),"$28,578",CF,21,Reserve,1,"$1,486,055",$0,$0,$0,$0,$0,$0,Valladolid
186,Mikel Balenziaga (http://www.capology.com/soccer/player/mikel-balenziaga/salary-profile/),"$28,317",LB,31,Reserve,3,"$1,472,484","$1,472,484","$1,472,484",$0,$0,$0,$0,Athletic Club
187,Daniel Carriço (http://www.capology.com/soccer/player/daniel-carrico/salary-profile/),"$28,274",CB,30,Starter,2,"$1,470,222","$1,470,222",$0,$0,$0,$0,$0,Sevilla
188,Sebastián Cristóforo (http://www.capology.com/soccer/player/sebastian-cristoforo/salary-profile/),"$28,187",CM,25,Reserve,1,"$1,465,698",$0,$0,$0,$0,$0,$0,Getafe
189,Javi Fuego (http://www.capology.com/soccer/player/javi-fuego/salary-profile/),"$28,165",DM,35,Reserve,2,"$1,464,567","$1,464,567",$0,$0,$0,$0,$0,Villarreal
190,Rúben Vezo (http://www.capology.com/soccer/player/ruben-vezo/salary-profile/),"$28,165",CB,24,Starter,1,"$1,464,567",$0,$0,$0,$0,$0,$0,Levante
191,Takashi Inui (http://www.capology.com/soccer/player/takashi-inui/salary-profile/),"$28,013",LW,30,Starter,1,"$1,456,651",$0,$0,$0,$0,$0,$0,Alaves
192,Rubén Blanco (http://www.capology.com/soccer/player/ruben-blanco/salary-profile/),"$27,273",GK,23,Starter,5,"$1,418,199","$1,418,199","$1,418,199","$1,418,199","$1,418,199",$0,$0,Celta Vigo
193,Ibai Gómez (http://www.capology.com/soccer/player/ibai-gomez/salary-profile/),"$27,099",RW,29,Reserve,4,"$1,409,151","$1,409,151","$1,409,151","$1,409,151",$0,$0,$0,Athletic Club
194,Andrés Fernández (http://www.capology.com/soccer/player/andres-fernandez/salary-profile/),"$26,990",GK,32,Reserve,3,"$1,403,497","$1,403,497","$1,403,497",$0,$0,$0,$0,Villarreal
195,Hernán Pérez (http://www.capology.com/soccer/player/hernan-perez/salary-profile/),"$26,860",RW,30,Reserve,2,"$1,396,711","$1,396,711",$0,$0,$0,$0,$0,Espanyol
196,Sergi Gómez (http://www.capology.com/soccer/player/sergi-gomez/salary-profile/),"$26,795",CB,27,Starter,4,"$1,393,318","$1,393,318","$1,393,318","$1,393,318",$0,$0,$0,Sevilla
197,Cristiano Piccini (http://www.capology.com/soccer/player/cristiano-piccini/salary-profile/),"$26,664",RB,26,Starter,4,"$1,386,532","$1,386,532","$1,386,532","$1,386,532",$0,$0,$0,Valencia
198,Pedro León (http://www.capology.com/soccer/player/pedro-leon/salary-profile/),"$26,642",RW,32,Reserve,2,"$1,385,402","$1,385,402",$0,$0,$0,$0,$0,Eibar
199,Fabián Orellana (http://www.capology.com/soccer/player/fabian-orellana/salary-profile/),"$26,599",RW,33,Starter,2,"$1,383,140","$1,383,140",$0,$0,$0,$0,$0,Eibar
200,Unai Simón (http://www.capology.com/soccer/player/unai-simon/salary-profile/),"$26,512",GK,21,Reserve,5,"$1,378,616","$1,378,616","$1,378,616","$1,378,616","$1,378,616",$0,$0,Athletic Club
201,Recio (http://www.capology.com/soccer/player/recio/salary-profile/),"$26,447",CM,28,Reserve,4,"$1,375,223","$1,375,223","$1,375,223","$1,375,223",$0,$0,$0,Leganés
202,Sabin Merino (http://www.capology.com/soccer/player/sabin-merino/salary-profile/),"$26,294",LW,27,Reserve,1,"$1,367,306",$0,$0,$0,$0,$0,$0,Leganés
203,Sergi Samper (http://www.capology.com/soccer/player/sergi-samper/salary-profile/),"$26,186",DM,24,Reserve,1,"$1,361,652",$0,$0,$0,$0,$0,$0,Barcelona
204,Nemanja Maksimovic (http://www.capology.com/soccer/player/nemanja-maksimovic/salary-profile/),"$26,099",CM,24,Starter,6,"$1,357,128","$1,357,128","$1,357,128","$1,357,128","$1,357,128","$1,357,128",$0,Getafe
205,José Luis Morales (http://www.capology.com/soccer/player/jose-luis-morales/salary-profile/),"$26,012",LW,31,Starter,3,"$1,352,604","$1,352,604","$1,352,604",$0,$0,$0,$0,Levante
206,Nikola Vukcevic (http://www.capology.com/soccer/player/nikola-vukcevic/salary-profile/),"$26,012",DM,27,Reserve,4,"$1,352,604","$1,352,604","$1,352,604","$1,352,604",$0,$0,$0,Levante
207,Roberto (http://www.capology.com/soccer/player/roberto/salary-profile/),"$26,012",GK,33,Reserve,1,"$1,352,604",$0,$0,$0,$0,$0,$0,Espanyol
208,Paulo Oliveira (http://www.capology.com/soccer/player/paulo-oliveira/salary-profile/),"$25,816",CB,27,Starter,3,"$1,342,426","$1,342,426","$1,342,426",$0,$0,$0,$0,Eibar
209,Unai Núñez (http://www.capology.com/soccer/player/unai-nunez/salary-profile/),"$25,642",CB,22,Reserve,5,"$1,333,378","$1,333,378","$1,333,378","$1,333,378","$1,333,378",$0,$0,Athletic Club
210,Ander Capa (http://www.capology.com/soccer/player/ander-capa/salary-profile/),"$25,577",RB,27,Starter,4,"$1,329,985","$1,329,985","$1,329,985","$1,329,985",$0,$0,$0,Athletic Club
211,Facundo Roncaglia (http://www.capology.com/soccer/player/facundo-roncaglia/salary-profile/),"$25,533",CB,32,Starter,1,"$1,327,724",$0,$0,$0,$0,$0,$0,Valencia
212,Gonzalo Escalante (http://www.capology.com/soccer/player/gonzalo-escalante/salary-profile/),"$25,511",CM,26,Reserve,2,"$1,326,593","$1,326,593",$0,$0,$0,$0,$0,Eibar
213,Xabier Etxeita (http://www.capology.com/soccer/player/xabier-etxeita/salary-profile/),"$25,468",CB,31,Starter,1,"$1,324,331",$0,$0,$0,$0,$0,$0,Huesca
214,Ryad Boudebouz (http://www.capology.com/soccer/player/ryad-boudebouz/salary-profile/),"$25,207",AM,29,Reserve,1,"$1,310,759",$0,$0,$0,$0,$0,$0,Celta Vigo
215,Dimitri Foulquier (http://www.capology.com/soccer/player/dimitri-foulquier/salary-profile/),"$25,185",RB,26,Reserve,1,"$1,309,629",$0,$0,$0,$0,$0,$0,Getafe
216,Kenneth Omeruo (http://www.capology.com/soccer/player/kenneth-omeruo/salary-profile/),"$25,185",CB,25,Reserve,1,"$1,309,629",$0,$0,$0,$0,$0,$0,Leganés
217,Jaime Mata (http://www.capology.com/soccer/player/jaime-mata/salary-profile/),"$25,098",CF,30,Reserve,3,"$1,305,105","$1,305,105","$1,305,105",$0,$0,$0,$0,Getafe
218,Michael Santos (http://www.capology.com/soccer/player/michael-santos/salary-profile/),"$24,881",CF,26,Reserve,1,"$1,293,795",$0,$0,$0,$0,$0,$0,Leganés
219,Marcos Llorente (http://www.capology.com/soccer/player/marcos-llorente/salary-profile/),"$24,859",DM,24,Reserve,3,"$1,292,664","$1,292,664","$1,292,664",$0,$0,$0,$0,Real Madrid
220,Gaël Kakuta (http://www.capology.com/soccer/player/gael-kakuta/salary-profile/),"$24,663",LW,27,Starter,4,"$1,282,486","$1,282,486","$1,282,486","$1,282,486",$0,$0,$0,Rayo Vallecano
221,Antonio Barragán (http://www.capology.com/soccer/player/antonio-barragan/salary-profile/),"$24,337",RB,31,Starter,2,"$1,265,522","$1,265,522",$0,$0,$0,$0,$0,Real Betis
222,Iñigo Córdoba (http://www.capology.com/soccer/player/inigo-cordoba/salary-profile/),"$24,315",LW,22,Reserve,4,"$1,264,391","$1,264,391","$1,264,391","$1,264,391",$0,$0,$0,Athletic Club
223,Mario Hermoso (http://www.capology.com/soccer/player/mario-hermoso/salary-profile/),"$24,315",CB,23,Starter,2,"$1,264,391","$1,264,391",$0,$0,$0,$0,$0,Espanyol
224,Ezequiel Muñoz (http://www.capology.com/soccer/player/ezequiel-munoz/salary-profile/),"$24,163",CB,28,Starter,2,"$1,256,474","$1,256,474",$0,$0,$0,$0,$0,Leganés
225,Héctor Moreno (http://www.capology.com/soccer/player/hector-moreno/salary-profile/),"$24,054",CB,31,Reserve,3,"$1,250,820","$1,250,820","$1,250,820",$0,$0,$0,$0,Real Sociedad
226,Marc Muniesa (http://www.capology.com/soccer/player/marc-muniesa/salary-profile/),"$24,032",CB,27,Reserve,3,"$1,249,689","$1,249,689","$1,249,689",$0,$0,$0,$0,Girona
227,Rubén Pérez (http://www.capology.com/soccer/player/ruben-perez/salary-profile/),"$23,858",DM,29,Starter,4,"$1,240,641","$1,240,641","$1,240,641","$1,240,641",$0,$0,$0,Leganés
228,Rubén Rochina (http://www.capology.com/soccer/player/ruben-rochina/salary-profile/),"$23,837",AM,28,Starter,3,"$1,239,510","$1,239,510","$1,239,510",$0,$0,$0,$0,Levante
229,Diego Rolan (http://www.capology.com/soccer/player/diego-rolan/salary-profile/),"$23,641",LW,26,Reserve,1,"$1,229,332",$0,$0,$0,$0,$0,$0,Alaves
230,Gaku Shibasaki (http://www.capology.com/soccer/player/gaku-shibasaki/salary-profile/),"$23,597",CM,26,Reserve,3,"$1,227,070","$1,227,070","$1,227,070",$0,$0,$0,$0,Getafe
231,Óscar Trejo (http://www.capology.com/soccer/player/oscar-trejo/salary-profile/),"$23,576",AM,30,Starter,2,"$1,225,939","$1,225,939",$0,$0,$0,$0,$0,Rayo Vallecano
232,Javi Eraso (http://www.capology.com/soccer/player/javi-eraso/salary-profile/),"$23,554",AM,29,Starter,2,"$1,224,808","$1,224,808",$0,$0,$0,$0,$0,Leganés
233,Sergio Álvarez (http://www.capology.com/soccer/player/sergio-alvarez/salary-profile/),"$23,511",GK,32,Reserve,1,"$1,222,546",$0,$0,$0,$0,$0,$0,Celta Vigo
234,Sergio Álvarez Díaz (http://www.capology.com/soccer/player/sergio-alvarez-diaz/salary-profile/),"$23,511",CM,27,Reserve,4,"$1,222,546","$1,222,546","$1,222,546","$1,222,546",$0,$0,$0,Eibar
235,Iñigo Lekue (http://www.capology.com/soccer/player/inigo-lekue/salary-profile/),"$22,967",RB,25,Reserve,5,"$1,194,273","$1,194,273","$1,194,273","$1,194,273","$1,194,273",$0,$0,Athletic Club
236,Raúl de Tomás (http://www.capology.com/soccer/player/raul-de-tomas/salary-profile/),"$22,945",CF,24,Starter,1,"$1,193,142",$0,$0,$0,$0,$0,$0,Rayo Vallecano
237,Carles Planas (http://www.capology.com/soccer/player/carles-planas/salary-profile/),"$22,836",LB,28,Reserve,2,"$1,187,487","$1,187,487",$0,$0,$0,$0,$0,Girona
238,Borja García (http://www.capology.com/soccer/player/borja-garcia/salary-profile/),"$22,597",AM,28,Starter,4,"$1,175,047","$1,175,047","$1,175,047","$1,175,047",$0,$0,$0,Girona
239,Rubén Sobrino (http://www.capology.com/soccer/player/ruben-sobrino/salary-profile/),"$22,314",CF,26,Starter,4,"$1,160,344","$1,160,344","$1,160,344","$1,160,344",$0,$0,$0,Valencia
240,Alexander Szymanowski (http://www.capology.com/soccer/player/alexander-szymanowski/salary-profile/),"$21,901",LW,30,Reserve,2,"$1,138,857","$1,138,857",$0,$0,$0,$0,$0,Leganés
241,Mikel San José (http://www.capology.com/soccer/player/mikel-san-jose/salary-profile/),"$21,684",DM,29,Reserve,2,"$1,127,547","$1,127,547",$0,$0,$0,$0,$0,Athletic Club
242,Raphael Dwamena (http://www.capology.com/soccer/player/raphael-dwamena/salary-profile/),"$21,684",CF,23,Reserve,4,"$1,127,547","$1,127,547","$1,127,547","$1,127,547",$0,$0,$0,Levante
243,Borja Mayoral (http://www.capology.com/soccer/player/borja-mayoral/salary-profile/),"$21,662",CF,22,Reserve,1,"$1,126,416",$0,$0,$0,$0,$0,$0,Levante
244,Kike (http://www.capology.com/soccer/player/kike/salary-profile/),"$21,662",CF,29,Starter,3,"$1,126,416","$1,126,416","$1,126,416",$0,$0,$0,$0,Eibar
245,Kenan Kodro (http://www.capology.com/soccer/player/kenan-kodro/salary-profile/),"$21,640",CF,25,Reserve,4,"$1,125,285","$1,125,285","$1,125,285","$1,125,285",$0,$0,$0,Athletic Club
246,Fernando Pacheco (http://www.capology.com/soccer/player/fernando-pacheco/salary-profile/),"$21,597",GK,26,Starter,5,"$1,123,023","$1,123,023","$1,123,023","$1,123,023","$1,123,023",$0,$0,Alaves
247,Facundo Ferreyra (http://www.capology.com/soccer/player/facundo-ferreyra/salary-profile/),"$21,510",CF,28,Reserve,2,"$1,118,500","$1,118,500",$0,$0,$0,$0,$0,Espanyol
248,Mikel Vesga (http://www.capology.com/soccer/player/mikel-vesga/salary-profile/),"$21,510",DM,26,Reserve,1,"$1,118,500",$0,$0,$0,$0,$0,$0,Leganés
249,Alex Remiro (http://www.capology.com/soccer/player/alex-remiro/salary-profile/),"$21,444",GK,24,Reserve,1,"$1,115,107",$0,$0,$0,$0,$0,$0,Athletic Club
250,Jonathan Calleri (http://www.capology.com/soccer/player/jonathan-calleri/salary-profile/),"$21,379",CF,25,Starter,1,"$1,111,714",$0,$0,$0,$0,$0,$0,Alaves
251,Juan Camilo Hernández (http://www.capology.com/soccer/player/juan-camilo-hernandez/salary-profile/),"$21,336",CF,19,Reserve,1,"$1,109,452",$0,$0,$0,$0,$0,$0,Huesca
252,Pape Diop (http://www.capology.com/soccer/player/pape-diop/salary-profile/),"$21,140",DM,33,Starter,1,"$1,099,274",$0,$0,$0,$0,$0,$0,Eibar
253,Jaume Doménech (http://www.capology.com/soccer/player/jaume-domenech/salary-profile/),"$21,096",GK,28,Reserve,4,"$1,097,012","$1,097,012","$1,097,012","$1,097,012",$0,$0,$0,Valencia
254,Aïssa Mandi (http://www.capology.com/soccer/player/aissa-mandi/salary-profile/),"$21,075",CB,27,Starter,3,"$1,095,881","$1,095,881","$1,095,881",$0,$0,$0,$0,Real Betis
255,José Manuel Arnáiz (http://www.capology.com/soccer/player/jose-manuel-arnaiz/salary-profile/),"$21,031",LW,23,Reserve,5,"$1,093,619","$1,093,619","$1,093,619","$1,093,619","$1,093,619",$0,$0,Leganés
256,Alejandro Gálvez (http://www.capology.com/soccer/player/alejandro-galvez/salary-profile/),"$21,009",CB,29,Reserve,1,"$1,092,488",$0,$0,$0,$0,$0,$0,Rayo Vallecano
257,Iván Ramis (http://www.capology.com/soccer/player/ivan-ramis/salary-profile/),"$20,922",CB,34,Reserve,1,"$1,087,964",$0,$0,$0,$0,$0,$0,Eibar
258,Joseba Zaldua (http://www.capology.com/soccer/player/joseba-zaldua/salary-profile/),"$20,879",RB,26,Starter,2,"$1,085,702","$1,085,702",$0,$0,$0,$0,$0,Real Sociedad
259,Pere Pons (http://www.capology.com/soccer/player/pere-pons/salary-profile/),"$20,748",DM,26,Starter,2,"$1,078,917","$1,078,917",$0,$0,$0,$0,$0,Girona
260,Zouhair Feddal (http://www.capology.com/soccer/player/zouhair-feddal/salary-profile/),"$20,379",CB,29,Starter,3,"$1,059,691","$1,059,691","$1,059,691",$0,$0,$0,$0,Real Betis
261,Álvaro García (http://www.capology.com/soccer/player/alvaro-garcia/salary-profile/),"$20,379",LW,26,Starter,5,"$1,059,691","$1,059,691","$1,059,691","$1,059,691","$1,059,691",$0,$0,Rayo Vallecano
262,Moses Simon (http://www.capology.com/soccer/player/moses-simon/salary-profile/),"$20,357",LW,23,Starter,5,"$1,058,560","$1,058,560","$1,058,560","$1,058,560","$1,058,560",$0,$0,Levante
263,Franco Di Santo (http://www.capology.com/soccer/player/franco-di-santo/salary-profile/),"$20,313",CF,30,Reserve,1,"$1,056,298",$0,$0,$0,$0,$0,$0,Rayo Vallecano
264,Jozabed Sánchez (http://www.capology.com/soccer/player/jozabed-sanchez/salary-profile/),"$20,183",CM,28,Reserve,3,"$1,049,512","$1,049,512","$1,049,512",$0,$0,$0,$0,Celta Vigo
265,Aritz Elustondo (http://www.capology.com/soccer/player/aritz-elustondo/salary-profile/),"$20,074",CB,25,Starter,4,"$1,043,858","$1,043,858","$1,043,858","$1,043,858",$0,$0,$0,Real Sociedad
266,Burgui (http://www.capology.com/soccer/player/burgui/salary-profile/),"$19,944",LW,25,Reserve,3,"$1,037,072","$1,037,072","$1,037,072",$0,$0,$0,$0,Alaves
267,Ángel Rodríguez (http://www.capology.com/soccer/player/angel-rodriguez/salary-profile/),"$19,835",CF,31,Starter,2,"$1,031,417","$1,031,417",$0,$0,$0,$0,$0,Getafe
268,David Soria (http://www.capology.com/soccer/player/david-soria/salary-profile/),"$19,813",GK,26,Starter,4,"$1,030,286","$1,030,286","$1,030,286","$1,030,286",$0,$0,$0,Getafe
269,Coke (http://www.capology.com/soccer/player/coke/salary-profile/),"$19,509",RB,31,Reserve,4,"$1,014,453","$1,014,453","$1,014,453","$1,014,453",$0,$0,$0,Levante
270,Juanpi Añor (http://www.capology.com/soccer/player/juanpi-anor/salary-profile/),"$19,509",RW,25,Starter,1,"$1,014,453",$0,$0,$0,$0,$0,$0,Huesca
271,Vitorino Antunes (http://www.capology.com/soccer/player/vitorino-antunes/salary-profile/),"$19,509",LB,32,Starter,2,"$1,014,453","$1,014,453",$0,$0,$0,$0,$0,Getafe
272,Yoel Rodríguez (http://www.capology.com/soccer/player/yoel-rodriguez/salary-profile/),"$19,509",GK,30,Reserve,1,"$1,014,453",$0,$0,$0,$0,$0,$0,Valladolid
273,Juanpe (http://www.capology.com/soccer/player/juanpe/salary-profile/),"$19,226",CB,27,Starter,4,"$999,751","$999,751","$999,751","$999,751",$0,$0,$0,Girona
274,Unai López (http://www.capology.com/soccer/player/unai-lopez/salary-profile/),"$19,030",AM,23,Reserve,4,"$989,573","$989,573","$989,573","$989,573",$0,$0,$0,Athletic Club
275,Álvaro González (http://www.capology.com/soccer/player/alvaro-gonzalez/salary-profile/),"$19,008",CB,29,Starter,3,"$988,442","$988,442","$988,442",$0,$0,$0,$0,Villarreal
276,Carles Aleñà (http://www.capology.com/soccer/player/carles-alena/salary-profile/),"$18,900",CM,21,Reserve,4,"$982,787","$982,787","$982,787","$982,787",$0,$0,$0,Barcelona
277,Samu Sáiz (http://www.capology.com/soccer/player/samu-saiz/salary-profile/),"$18,900",AM,28,Reserve,1,"$982,787",$0,$0,$0,$0,$0,$0,Getafe
278,Federico Valverde (http://www.capology.com/soccer/player/federico-valverde/salary-profile/),"$18,835",CM,20,Reserve,3,"$979,394","$979,394","$979,394",$0,$0,$0,$0,Real Madrid
279,José Ángel (http://www.capology.com/soccer/player/jose-angel/salary-profile/),"$18,813",LB,29,Starter,2,"$978,263","$978,263",$0,$0,$0,$0,$0,Eibar
280,Duje Cop (http://www.capology.com/soccer/player/duje-cop/salary-profile/),"$18,661",CF,29,Reserve,1,"$970,347",$0,$0,$0,$0,$0,$0,Valladolid
